,std_resid,resid_sign
385,0.369036713,1
386,-0.716883123,-1
387,-1.493798048,-1
388,-1.638902608,-1
389,-1.574661612,-1
390,-1.075610895,-1
391,-0.588473877,-1
392,-0.264141337,-1
393,-0.202416144,-1
394,-0.051130537,-1
395,-0.050358067,-1
396,-0.890723669,-1
397,-1.210187288,-1
398,-0.717318279,-1
399,-0.123639819,-1
400,0.015570059,1
401,-0.170649134,-1
402,0.349785269,1
403,0.397745621,1
404,0.485598414,1
405,0.749427293,1
406,0.726120381,1
407,0.615535398,1
408,0.737764252,1
409,0.697584114,1
410,0.436593787,1
411,0.368524857,1
412,0.388974042,1
413,0.611814601,1
414,0.791402359,1
415,0.653234123,1
416,0.730934414,1
417,0.573520661,1
418,0.692586903,1
419,0.985850171,1
420,0.895696515,1
421,0.972570109,1
422,0.804626217,1
423,0.598784536,1
424,0.830861621,1
425,0.637095673,1
426,0.728560805,1
427,0.769531262,1
428,0.644624574,1
429,0.662737845,1
430,-0.435742504,-1
431,-0.778620173,-1
432,-0.130996739,-1
433,0.216031618,1
434,0.417182951,1
435,0.413624844,1
436,0.458478128,1
437,0.310482111,1
438,0.305002754,1
439,0.469605462,1
440,0.303406225,1
441,0.599742825,1
442,0.616005611,1
443,0.738145181,1
444,0.644937372,1
445,0.41313012,1
446,-0.672160106,-1
447,-0.669051065,-1
448,-0.665205272,-1
449,-0.515392505,-1
450,-0.356613054,-1
451,-0.580118279,-1
452,-0.209585267,-1
453,-0.533702202,-1
454,-0.288632746,-1
455,0.118216752,1
456,0.097228556,1
457,-0.203294435,-1
458,0.054192018,1
459,-0.310985323,-1
460,-0.437347002,-1
461,-0.130498122,-1
462,-0.2846408,-1
463,-0.13051532,-1
464,-0.075222498,-1
465,0.053332241,1
466,0.153980323,1
467,-0.007457791,-1
468,-0.079227688,-1
469,-0.130152905,-1
470,0.218349614,1
471,-0.178849349,-1
472,0.372889098,1
473,0.184604484,1
474,0.258927218,1
475,0.27804707,1
476,-0.154857939,-1
477,-0.447762089,-1
478,-0.514573121,-1
479,-0.10123703,-1
480,-0.355398836,-1
481,-0.34032252,-1
482,0.223311112,1
483,0.641067724,1
484,0.324281942,1
485,0.392530106,1
486,0.274721107,1
487,0.203417474,1
488,-0.224672189,-1
489,-0.567514146,-1
490,-0.308536991,-1
491,-0.251951213,-1
492,-0.117700856,-1
493,0.104815643,1
494,0.46194227,1
495,0.46722454,1
496,0.264203552,1
497,0.525318219,1
498,0.443663016,1
499,0.336311413,1
500,0.775630278,1
501,0.740785986,1
502,1.058290005,1
503,0.54410808,1
504,0.515859505,1
505,0.75221293,1
506,0.496846791,1
507,0.55154572,1
508,0.647071585,1
509,0.200958601,1
510,0.406027151,1
511,0.413124845,1
512,0.284121045,1
513,0.704752577,1
514,1.118861138,1
515,1.321396031,1
516,0.908058619,1
517,1.202219353,1
518,0.712151867,1
519,1.600764187,1
520,1.212476365,1
521,1.345809419,1
522,1.193049646,1
523,1.290677972,1
524,0.926560132,1
525,0.890728425,1
526,1.237379146,1
527,1.343327351,1
528,1.308448003,1
529,1.157645853,1
530,1.23460807,1
531,0.944667467,1
532,1.162241643,1
